zipcode,near_ATTRAC,near_museum,near_Performing_arts
2855,12.7,3.8,10.1
2861,14.4,5.9,11.8
2865,16.9,4.5,14.4
2871,17.0,1.0,14.4
2872,17.2,1.7,15.7
2901,5.8,3.4,3.1
2902,4.5,3.5,1.4
2903,4.4,4.3,0.6
2904,5.9,5.6,1.6
2905,5.6,5.9,1.6
2906,2.8,4.7,2.0
2907,2.8,7.4,3.5
2908,3.0,7.9,4.4
2909,5.7,3.1,3.9
2911,6.5,8.3,4.4
2912,5.0,9.7,5.8
2913,6.5,10.6,7.5
2914,6.0,9.9,6.2
2921,6.8,1.5,4.0
2922,7.1,0.8,4.3
2923,7.3,1.8,4.5
2924,8.5,2.2,5.7
2925,8.9,3.1,6.1
2926,7.8,2.3,5.0
2931,10.0,5.1,7.2
2935,11.1,5.6,8.5
2941,14.2,9.2,11.4
2951,9.5,8.3,4.9
2952,8.7,7.5,4.1
2953,10.8,8.5,6.2
2954,10.3,9.0,5.6
2957,12.5,9.9,8.1
2959,11.8,10.0,11.9
2961,11.2,6.3,8.3
2964,16.1,4.0,16.1
2965,18.0,2.4,15.1
2967,18.4,3.2,15.1
2968,18.8,4.2,14.2
2969,7.5,8.0,4.6
2971,6.2,8.1,9.9
2973,8.8,8.3,12.9
2974,9.3,8.7,13.3
2975,12.2,7.4,12.7
2977,15.4,6.6,11.8
2981,4.3,7.6,5.5
2982,3.6,7.0,4.9
2983,3.7,6.9,5.0
2984,5.1,7.8,4.3
2985,5.0,8.0,5.3
2986,5.8,8.0,4.5
2987,2.2,4.7,3.4
2988,5.6,6.2,3.9
2989,7.6,5.4,1.9
2991,3.1,6.7,1.5
2992,1.8,6.4,1.7
2993,3.2,7.0,4.2
2994,2.8,5.7,3.9
2995,5.9,7.8,4.1
3011,2.0,0.6,0.5
3012,1.2,0.6,0.2
3013,0.5,1.2,0.6
3014,0.6,0.9,0.6
3015,1.3,0.4,0.7
3016,2.3,0.3,1.1
3021,1.1,0.9,1.1
3022,1.3,1.5,1.9
3023,1.8,0.9,1.7
3024,2.6,0.7,2.2
3025,2.7,1.3,2.4
3026,2.3,1.4,2.4
3027,2.3,2.2,2.5
3028,3.1,1.9,1.4
3029,3.5,1.8,3.1
3031,2.1,1.3,1.0
3032,1.7,1.5,0.8
3033,1.3,1.8,0.4
